,encoding,probabilities
14,"[[ -8.72337      0.69535154  -4.3766108  -25.368162   -15.273309
  -24.46957    -17.035522   -24.203238     0.74531454 -23.702682
    2.088945    -7.479604     3.6401234   -2.9911132  -23.229479
    0.912568    22.521906   -25.196274    -5.8919954  -12.177954
   -2.4354148   -3.5572767  -15.410745   -20.512861   -13.155352
    5.7785134   -5.212243     2.0030572   -2.4062965   27.990446
   -4.3005004  -23.309568     3.3090959  -23.009243     2.566799
  -17.851662   -25.08769     -2.5043447  -15.742548    -4.811181
  -24.466143     7.1559386  -25.269716   -22.961422   -25.063822
  -11.103425   -19.208885   -19.876379   -23.805086    -3.7879393
  -11.943218   -23.236874    -0.3751072   -9.348035   -14.57195
   -7.4528346   -3.213684    -0.5099954  -19.394463   -26.99072
   -4.7628093  -25.988476   -12.024192   -23.664158  ]]",[[0.9999366]]
15,"[[-11.675891    6.761664   -6.586007  -37.19664   -21.678093  -35.654602
  -24.456224  -33.89544     4.5638347 -34.442944    7.659932   -8.879312
   10.362501   -2.6779838 -34.245354    5.7854996  26.62091   -37.362995
   -6.7311716 -16.207699   -1.2895737  -4.472172  -24.176065  -29.72972
  -18.93417    12.750074   -8.00832     7.9522295  -1.6065723  33.703465
   -3.3196423 -33.752613    8.389528  -33.37926     7.898921  -24.79163
  -36.947926    2.324834  -22.915993   -6.3616734 -35.614395    1.9889634
  -36.63737   -34.34102   -36.555363  -15.1834755 -28.029715  -30.543362
  -34.464504   -3.5359914 -17.7469    -33.919067    1.5418806  -9.448218
  -20.807945   -8.641179   -3.8824055  -0.6270173 -29.022636  -39.481174
   -6.319645  -37.534275  -16.314962  -34.81839  ]]",[[0.9983773]]
16,"[[-14.305098    20.997725    -9.263901   -50.14008    -28.046486
  -47.889347   -31.714502   -43.202118    13.182894   -46.1343
   19.726862    -8.875191    23.67381     -1.1055509  -46.736267
   16.923315    22.746145   -51.025127    -6.518155   -19.28387
    1.8264029   -5.2882524  -35.389668   -39.70149    -25.326843
   24.238863   -11.686396    20.945978     0.71834296  30.298136
    2.2163568  -45.03404     15.791227   -44.59205     18.884981
  -30.74724    -50.071693    16.280043   -31.230864    -7.4752913
  -47.684853   -13.081258   -48.68849    -48.076073   -48.94037
  -18.914759   -38.348175   -43.510574   -46.13756     -1.6656755
  -24.30648    -45.68974      4.0315485   -5.7451534  -27.431866
   -8.312591    -4.7970395   -0.7909651  -40.0256     -52.638012
   -8.3332405  -49.55853    -20.172953   -47.47983   ]]",[[0.00013785]]
17,"[[-12.044244    6.357887   -6.763891  -38.26271   -22.34591   -36.684124
  -25.22188   -34.97993     4.3480377 -35.41959     7.4080462  -9.241177
   10.206192   -2.8432803 -35.18824     5.495822   28.03591   -38.41497
   -6.9883957 -16.764835   -1.449238   -4.5929675 -24.75922   -30.592901
  -19.463692   12.847872   -8.180135    7.6750436  -1.7446662  35.42573
   -3.7724404 -34.71491     8.546341  -34.346977    7.7239394 -25.629885
  -37.990837    1.6651734 -23.528519   -6.594582  -36.64831     2.732101
  -37.732357  -35.20237   -37.63274   -15.668706  -28.783281  -31.305065
  -35.455402   -3.747965  -18.243717  -34.885273    1.5985998  -9.99413
  -21.401226   -8.994383   -3.949883   -0.6426429 -29.814024  -40.680588
   -6.4506607 -38.66771   -16.833086  -35.77004  ]]",[[0.9994867]]
18,"[[-1.51661558e+01  1.68309116e+01 -9.51213932e+00 -5.23457642e+01
  -2.96325836e+01 -4.99798889e+01 -3.37310829e+01 -4.57742996e+01
   1.08140049e+01 -4.81354866e+01  1.66569004e+01 -1.00528975e+01
   2.08846226e+01 -1.79540813e+00 -4.84479027e+01  1.38064594e+01
   2.93277493e+01 -5.31145821e+01 -7.28464031e+00 -2.08644047e+01
   8.79153192e-01 -5.42877531e+00 -3.59515610e+01 -4.14967690e+01
  -2.63187485e+01  2.30749474e+01 -1.17527447e+01  1.75965691e+01
   3.90031561e-03  3.80855408e+01 -7.47562408e-01 -4.70054169e+01
   1.59171715e+01 -4.66090813e+01  1.63711643e+01 -3.31613388e+01
  -5.22043343e+01  1.10024843e+01 -3.21816101e+01 -8.16295719e+00
  -4.98380127e+01 -7.82206774e+00 -5.11212540e+01 -4.92247925e+01
  -5.12754974e+01 -2.00933533e+01 -3.94445076e+01 -4.46499367e+01
  -4.80926208e+01 -2.60430145e+00 -2.52721138e+01 -4.76224060e+01
   4.46227169e+00 -8.15321922e+00 -2.86484261e+01 -9.46383953e+00
  -4.62771511e+00 -7.80136764e-01 -4.15289459e+01 -5.54356461e+01
  -8.24415302e+00 -5.21663666e+01 -2.14369831e+01 -4.91910439e+01]]",[[0.20351121]]
19,"[[-16.977638    24.792564   -11.215965   -60.791008   -33.894314
  -57.944706   -38.639153   -51.962387    15.65393    -55.80102
   23.534224   -10.328167    28.503199    -0.97932726 -56.512672
   20.072508    28.241255   -61.946865    -7.3660884  -23.116028
    2.5737848   -6.0136437  -42.970863   -48.015232   -30.499683
   29.871912   -14.0882      24.96761      1.2637795   37.520367
    2.1035361  -54.40552     20.383188   -53.945908    22.665266
  -37.323017   -60.74879     18.675936   -37.532307    -8.98706
  -57.723083   -15.987367   -59.036842   -57.997173   -59.355297
  -22.653473   -46.028057   -52.87975    -55.70294     -1.6736448
  -29.514835   -55.272076     5.997805    -6.373513   -33.021866
   -9.534898    -5.227774    -0.8746107  -48.632973   -64.04196
   -9.5298815  -60.08554    -24.119007   -57.379303  ]]",[[7.456113e-05]]
20,"[[ -9.523285    -3.651918    -4.4168134  -26.459787   -16.33551
  -25.573126   -18.236347   -26.256594    -1.7692367  -24.75737
   -1.3378292   -8.789532     0.31560758  -3.9228876  -23.989855
   -2.3963273   28.391684   -26.092684    -6.882543   -13.556737
   -3.6447904   -3.892935   -15.174299   -21.516054   -13.701585
    3.6791298   -5.057657    -1.6812599   -3.4218218   34.836037
   -7.030545   -24.398767     2.2133193  -24.120249    -0.34876588
  -19.590115   -26.070494    -7.6684074  -16.219261    -5.400164
  -25.639551    13.072076   -26.644562   -23.250658   -26.325659
  -12.064201   -19.795122   -19.889828   -24.911629    -4.9066577
  -12.352985   -24.243803    -0.8099737  -12.213712   -15.316946
   -8.847766    -3.3335183   -0.5416139  -19.927233   -28.469841
   -4.846482   -27.536098   -13.090709   -24.428324  ]]",[[0.9999994]]
21,"[[-13.973617    11.681032    -8.356308   -46.492256   -26.680986
  -44.48506    -30.28472    -41.458645     7.621105   -42.84195
   12.189545    -9.959967    15.811561    -2.4270806  -42.87772
    9.735863    29.635853   -46.980114    -7.3497133  -19.338167
   -0.335866    -5.1211734  -31.089603   -37.017483   -23.50516
   18.32067    -10.211355    12.794727    -0.92494786  37.930992
   -2.44618    -41.900375    12.606283   -41.541885    12.231433
  -30.211546   -46.2623       6.1769195  -28.577774    -7.612149
  -44.368843    -2.4579458  -45.63704    -43.240818   -45.65877
  -18.38233    -34.997482   -38.888298   -42.889652    -3.3127208
  -22.33859    -42.35553      3.163307    -9.381685   -25.648687
   -9.487433    -4.3808064   -0.7390214  -36.56195    -49.380726
   -7.510128   -46.657345   -19.621075   -43.56796   ]]",[[0.9676858]]
22,"[[-13.067668     9.40808     -7.6344676  -42.87009    -24.733194
  -41.049343   -28.042704   -38.604645     6.242224   -39.55373
   10.145366    -9.57757     13.449956    -2.5446808  -39.47652
    7.930162    28.876108   -43.240154    -7.1181817  -18.156057
   -0.74650663  -4.824524   -28.337746   -34.185913   -21.69586
   16.016953    -9.288096    10.609348    -1.2175289   36.770073
   -3.0094018  -38.701412    10.98744    -38.36173     10.328094
  -28.165146   -42.636284     4.2122645  -26.318583    -7.1278234
  -40.963844    -0.33425313 -42.166283   -39.682983   -42.15887
  -17.136095   -32.258797   -35.61054    -39.61032     -3.4267607
  -20.548649   -39.072838     2.5832832   -9.561514   -23.738249
   -9.194768    -4.1461215   -0.7004653  -33.63515    -45.59728
   -6.988668   -43.161797   -18.32055    -40.10808   ]]",[[0.9937022]]
23,"[[-16.34248     24.208311   -10.763959   -58.30245    -32.50434
  -55.58784    -36.996075   -49.840904    15.253603   -53.55819
   22.879251    -9.919714    27.606514    -0.96585816 -54.262337
   19.570145    26.62392    -59.388813    -7.1183205  -22.179134
    2.4780004   -5.8623815  -41.274136   -46.05735    -29.275623
   28.727858   -13.5813055   24.281988     1.2031065   35.43757
    2.3164923  -52.234512    19.351372   -51.75102     21.960726
  -35.734047   -58.258835    18.512903   -36.08851     -8.609812
  -55.372227   -15.6661     -56.57531    -55.747143   -56.89859
  -21.756111   -44.257847   -50.753963   -53.46176     -1.6169118
  -28.27594    -53.019882     5.5332127   -6.064121   -31.72221
   -9.198141    -5.1551237   -0.86136407 -46.64005    -61.331165
   -9.28373    -57.602856   -23.198433   -55.09704   ]]",[[5.2343887e-05]]
24,"[[-1.5876048e+01  1.7743576e+01 -9.9905176e+00 -5.4723293e+01
  -3.0971947e+01 -5.2270813e+01 -3.5247890e+01 -4.7914547e+01
   1.1359878e+01 -5.0294952e+01  1.7526199e+01 -1.0532847e+01
   2.1943876e+01 -1.9010044e+00 -5.0643890e+01  1.4535519e+01
   3.0475988e+01 -5.5539444e+01 -7.6175513e+00 -2.1810646e+01
   9.3893629e-01 -5.7037082e+00 -3.7643730e+01 -4.3403503e+01
  -2.7549335e+01  2.4154943e+01 -1.2309990e+01  1.8519474e+01
   1.4845993e-02  3.9599693e+01 -7.0861477e-01 -4.9097958e+01
   1.6706280e+01 -4.8717243e+01  1.7212736e+01 -3.4649540e+01
  -5.4554966e+01  1.1579819e+01 -3.3667137e+01 -8.5559769e+00
  -5.2090633e+01 -8.3924932e+00 -5.3469563e+01 -5.1475063e+01
  -5.3628849e+01 -2.1008278e+01 -4.1292446e+01 -4.6618248e+01
  -5.0312267e+01 -2.7086530e+00 -2.6448704e+01 -4.9809952e+01
   4.6715722e+00 -8.4948311e+00 -2.9936913e+01 -9.8697586e+00
  -4.8447461e+00 -8.3163911e-01 -4.3384117e+01 -5.7964199e+01
  -8.6289816e+00 -5.4541183e+01 -2.2372179e+01 -5.1431110e+01]]",[[0.16754735]]
25,"[[ -7.831673    -6.334013    -3.1779487  -19.669018   -12.625428
  -19.136145   -13.898232   -20.514997    -3.5262969  -18.621616
   -3.915084    -7.909188    -2.9856327   -4.0381637  -17.736357
   -4.589713    25.121727   -19.106762    -6.397061   -11.159157
   -4.204321    -3.4481828  -10.233279   -16.21842    -10.432227
   -0.05070641  -3.5721207   -4.435887    -3.8129823   30.47651
   -7.0945396  -18.452902    -0.7583498  -18.175827    -2.9197907
  -15.443943   -19.253134    -9.411674   -12.202557    -4.466937
  -19.21943     15.200385   -20.04052    -16.89092    -19.64647
   -9.705747   -14.816315   -13.8441725  -18.800875    -4.980414
   -9.027176   -18.112158    -2.0187368  -11.868217   -11.783014
   -8.101186    -3.0807395   -0.4657856  -14.393993   -21.144629
   -4.0952253  -20.808804   -10.635602   -18.109251  ]]",[[0.999998]]
26,"[[-11.598769    6.6479783  -6.53201   -36.89206   -21.509098  -35.36428
  -24.26132   -33.635925    4.4918585 -34.167103    7.5504384  -8.8341255
   10.22195    -2.678136  -33.964424    5.6913767  26.464558  -37.048935
   -6.7027435 -16.097696   -1.3110138  -4.4512424 -23.960459  -29.489296
  -18.78636    12.592976   -7.9438972   7.8370724  -1.616067   33.49822
   -3.3187315 -33.48528     8.261291  -33.110054    7.789566  -24.606333
  -36.64209     2.255255  -22.734453   -6.319923  -35.32646     2.0692883
  -36.33858   -34.055305  -36.256084  -15.075378  -27.804415  -30.273245
  -34.187233   -3.5372462 -17.595991  -33.64079     1.490356   -9.421779
  -20.646555   -8.599892   -3.8689206  -0.6237386 -28.773418  -39.151054
   -6.283978  -37.232002  -16.199493  -34.53212  ]]",[[0.9984201]]
27,"[[-17.809513    22.945969   -11.569335   -63.282646   -35.48037
  -60.316875   -40.558403   -54.56822     14.645557   -58.06547
   22.264353   -11.214296    27.51571     -1.3849558  -58.63428
   18.725689    32.573997   -64.39523     -7.9540043  -24.50674
    2.117115    -6.2265368  -44.19557    -50.00691    -31.663198
   29.818987   -14.394258    23.571438     0.9199781   42.724083
    0.46837413 -56.6212      20.843193   -56.183296    21.691765
  -39.455227   -63.186466    16.03418    -38.827606    -9.543496
  -60.127567   -13.276923   -61.633846   -59.82378    -61.911263
  -23.774464   -47.635475   -54.59987    -57.962036    -2.2129571
  -30.653318   -57.500145     6.324934    -7.9309783  -34.353966
  -10.392385    -5.2586856   -0.90478975 -50.478985   -66.94165
   -9.682031   -62.822716   -25.314468   -59.50551   ]]",[[0.00447664]]
28,"[[-13.699927    10.122139    -8.039184   -45.040417   -25.975546
  -43.129486   -29.451576   -40.504322     6.679203   -41.537582
   10.841146   -10.001528    14.33218     -2.6271045  -41.48353
    8.505232    30.064281   -45.45712     -7.406925   -19.01434
   -0.6895447   -5.0552855  -29.84334    -35.919113   -22.785955
   16.998875    -9.7818575   11.354061    -1.205198    38.3063
   -3.0330138  -40.636528    11.698832   -40.293613    11.010297
  -29.541515   -44.790398     4.6350884  -27.656935    -7.4835987
  -43.034355    -0.70791745 -44.300674   -41.715435   -44.284744
  -17.973917   -33.89139    -37.419464   -41.60795     -3.526951
  -21.593996   -41.058594     2.8060696   -9.887594   -24.917402
   -9.56575     -4.321335    -0.74277544 -35.33673    -47.911835
   -7.3217034  -45.332596   -19.19329    -42.144314  ]]",[[0.99336505]]
29,"[[-14.320515   11.160909   -8.482154  -47.369965  -27.272287  -45.359573
  -30.910254  -42.46795     7.332664  -43.656776   11.82017   -10.345147
   15.502807   -2.6313233 -43.649582    9.351346   31.027172  -47.841938
   -7.630885  -19.847458   -0.5478224  -5.232801  -31.517544  -37.749306
  -23.93916    18.244013  -10.31716    12.38182    -1.1176555  39.63234
   -2.9218888 -42.704735   12.574414  -42.36715    11.952021  -30.929173
  -47.121895    5.4069667 -29.092274   -7.81937   -45.251244   -1.5117928
  -46.567673  -43.929947  -46.554806  -18.80619   -35.630924  -39.48132
  -43.72656    -3.5508428 -22.741446  -43.17532     3.1053414 -10.017919
  -26.172771   -9.877047   -4.463536   -0.7654385 -37.2128    -50.38402
   -7.634109  -47.623493  -20.088938  -44.342068 ]]",[[0.9895817]]
30,"[[-11.248088     0.3002802   -5.722033   -33.404797   -20.078608
  -32.165607   -22.52751    -31.937181     0.6884179  -31.047184
    2.246387    -9.593898     4.559686    -3.7196126  -30.471878
    0.7560968   30.350626   -33.261326    -7.3851495  -15.868328
   -2.925231    -4.413568   -20.364672   -26.950617   -17.11829
    7.882305    -6.7049756    2.143138    -2.9216285   37.68403
   -6.2089267  -30.515898     5.212729   -30.220703     3.0454347
  -23.570074   -33.02912     -4.419822   -20.470476    -6.27911
  -32.184673     9.5988035  -33.330444   -29.966814   -33.07879
  -14.448132   -25.051617   -26.19452    -31.197113    -4.7111664
  -15.774804   -30.552551     0.26250973 -12.148755   -18.972706
   -9.500978    -3.7746232   -0.62588745 -25.594534   -35.797062
   -5.812933   -34.30459    -15.573743   -30.992916  ]]",[[0.9999988]]
31,"[[-11.183791     3.4003067   -5.9941635  -34.50781    -20.391314
  -33.166595   -22.953806   -32.275925     2.5450022  -31.991104
    4.795045    -9.046378     7.2833643   -3.12151    -31.610905
    3.1592321   27.934034   -34.552513    -6.892881   -15.675007
   -2.0476313   -4.2965236  -21.762495   -27.720917   -17.605577
   10.061712    -7.1454577    4.8884997   -2.2083032   35.000725
   -4.6886315  -31.381018     6.6882424  -31.095215     5.3386126
  -23.631432   -34.214775    -1.1525367  -21.183598    -6.173518
  -33.15696      5.720893   -34.236023   -31.394781   -34.086056
  -14.477451   -25.97727    -27.744705   -32.10806     -4.0109024
  -16.399544   -31.531084     0.90355355 -10.608692   -19.423779
   -8.87546     -3.7223148   -0.62175906 -26.721914   -36.86397
   -5.902073   -35.157207   -15.552543   -32.133705  ]]",[[0.99996305]]
